Geneid,NCH3_2_DAPT,NCH3_1_DAPT,NCH1_2_DAPT,NCH3_2_DMSO,NCH1_1_DAPT,NCH1_1_DMSO,NCH1_2_DMSO,NCH3_1_DMSON
DDX11L1,0,0,0,0,0,0,0,0
WASH7P,86,101,221,106,365,265,195,64
MIR6859-1,7,2,6,1,1,9,12,2
MIR1302-2HG,0,0,14,0,3,12,0,0
MIR1302-2,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0
AL627309.1,0,0,0,0,1,0,0,0
AL627309.3,0,0,0,0,0,0,0,0
CICP27,6,6,1,21,2,6,2,3
AL627309.6,25,34,109,57,34,26,109,31
AL627309.7,99,55,100,116,82,75,151,41
AL627309.2,2,9,2,7,5,6,3,2
AL627309.5,11,4,2,8,4,6,12,15
RNU6-1100P,2,2,0,1,0,0,0,0
AL627309.4,0,0,0,0,0,0,0,0
FO538757.1,0,0,0,0,0,0,0,0
WASH9P,251,281,311,241,345,357,478,206
MIR6859-2,0,0,1,0,0,0,0,0
AP006222.1,6,6,12,24,20,44,37,20
AP006222.2,0,0,0,0,0,0,0,0
RPL23AP24,4,3,18,2,15,17,4,4
AL732372.1,1,0,0,0,0,0,0,0
AL732372.2,53,101,170,54,61,138,233,68
WBP1LP7,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0
CICP7,1,0,0,0,0,1,0,0
AL732372.3,10,2,8,8,10,11,2,10
FO681485.1,0,0,0,2,0,0,0,2
AL669831.3,19,31,20,28,23,9,9,29
AC114498.1,0,0,0,0,0,0,0,0
MTND1P23,71,38,19,33,28,35,9,41
MTND2P28,11133,7038,1796,7922,8717,7024,3512,7117
MTCO1P12,4441,2937,1164,3898,4099,2885,1798,3708
AC114498.2,0,0,0,0,0,0,0,0
MTCO2P12,13,13,2,14,21,11,12,27
MTATP8P1,4,1,0,0,1,1,1,0
MTATP6P1,31129,26017,13887,23760,49994,40140,24099,27396
MTCO3P12,78,55,42,48,59,72,43,66
WBP1LP6,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0
CICP3,0,12,0,6,0,2,0,0
AL669831.1,371,318,246,285,144,117,214,179
RNU6-1199P,2,0,0,0,0,0,0,0
AL669831.2,0,0,0,0,1,0,0,0
LINC01409,56,45,66,54,41,77,102,37
AL669831.6,0,0,0,0,0,0,0,0
AL669831.4,2,1,0,2,5,0,6,3
FAM87B,16,8,7,0,3,4,0,2
LINC01128,1924,1597,450,1344,1570,1446,1030,1060
LINC00115,27,20,50,10,47,42,38,23
AL669831.7,6,0,0,2,0,0,0,0
FAM41C,0,0,0,5,0,0,0,0
TUBB8P11,0,2,0,0,0,0,0,0
AL669831.5,1,0,0,0,0,0,0,0
AL645608.6,0,0,39,0,0,0,36,0
AL645608.2,2,0,172,16,4,2,151,0
AL645608.4,0,0,2,0,0,0,0,0
LINC02593,33,98,640,72,96,115,722,22
SAMD11,80,110,1343,81,61,124,1398,92
NOC2L,3354,2925,4400,2425,2882,3001,4817,2076
KLHL17,317,205,1249,160,259,316,1064,162
PLEKHN1,7,6,27,14,7,10,21,6
PERM1,0,0,0,0,0,0,0,0
AL645608.7,55,67,24,45,4,10,14,15
HES4,2267,2262,2896,1542,1867,2301,3525,1363
ISG15,926,931,14794,632,1893,1506,27279,909
AL645608.3,0,0,0,0,0,4,0,0
AL645608.1,6,1,22,10,6,3,4,3
AGRN,24797,23104,14089,16529,20932,18727,18310,10470
AL645608.5,0,0,0,0,0,0,0,0
AL390719.1,8,19,83,12,13,6,54,10
AL645608.8,0,0,6,0,0,0,0,0
RNF223,0,0,4,0,2,10,4,0
C1orf159,356,348,857,377,429,435,858,260
AL390719.3,38,22,16,6,6,13,24,4
LINC01342,0,0,2,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0
AL390719.2,0,0,1,0,0,0,2,0
