"","Metabolic_activity","compound","taxonomy.ID"
"1","Production (export)","C03044, C03046","Bacillus subtilis"
"2","Consumption (import)","C03044, C03046","Corynebacterium glutamicum"
"3","Production (export)","C03044, C03046","Enterobacter cancerogenus"
"4","Production (export)","C03044, C03046","Enterobacter cloacae"
"5","Consumption (import) & production (export)","C03044, C03046","Klebsiella pneumoniae"
"6","Production (export)","C03044, C03046","Klebsiella variicola"
"7","Production (export)","C03044, C03046","Lactiplantibacillus plantarum"
"8","Consumption (import)","C03044, C03046","Syntrophotalea carbinolica"
"9","Consumption (import)","C03044, C03046","Pelobacter propionicus"
"10","Consumption (import)","C03044, C03046","Pseudomonas aeruginosa"
"12","Production (export)","C01380","Bacteroides thetaiotaomicron"
"13","Consumption (import)","C01380","Syntrophotalea carbinolica"
"14","Consumption (import)","C01380","Pelobacter propionicus"
"15","Consumption (import)","C01380","Pelotomaculum thermopropionicum"
"16","Consumption (import)","C01380","Syntrophobacter fumaroxidans"
"17","Consumption (import)","C01380","Syntrophobotulus glycolicus"
"18","Consumption (import)","C01380","Syntrophomonas wolfei"
"19","Consumption (import)","C01380","Syntrophothermus lipocalidus"
"20","Consumption (import)","C01380","Syntrophus aciditrophicus"
"21","Production (export)","C00583, C02912, C02917","Bacteroides thetaiotaomicron"
"22","Production (export)","C00583, C02912, C02917","Bifidobacterium longum"
"23","Consumption (import)","C00583, C02912, C02917","Clostridium butyricum"
"24","Production (export)","C00583, C02912, C02917","Lentilactobacillus buchneri"
"25","Consumption (import)","C00583, C02912, C02917","Syntrophotalea carbinolica"
"26","Consumption (import)","C00583, C02912, C02917","Salmonella enterica"
"27","Production (export)","C02457","Citrobacter koseri"
"28","Production (export)","C02457","Citrobacter rodentium"
"29","Production (export)","C02457","Citrobacter youngae"
"30","Production (export)","C02457","Ilyobacter polytropus"
"31","Production (export)","C02457","Klebsiella pneumoniae"
"32","Production (export)","C02457","Levilactobacillus brevis"
"33","Production (export)","C02457","Lentilactobacillus buchneri"
"34","Consumption (import) & production (export)","C02457","Syntrophotalea carbinolica"
"35","Consumption (import)","C02457","Pelotomaculum thermopropionicum"
"36","Production (export)","C02261, C02356","Clostridium botulinum"
"37","Production (export)","C02261, C02356","Clostridium sporogenes"
"38","Production (export)","C02261, C02356","Acetoanaerobium sticklandii"
"40","Consumption (import)","C18319","Desulfobulbus propionicus"
"41","Consumption (import)","C18319","Fibrobacter succinogenes"
"42","Consumption (import)","C18319","Prevotella ruminicola"
"43","Consumption (import)","C18319","Ruminococcus albus"
"44","Consumption (import)","C18319","Ruminococcus bromii"
"45","Consumption (import)","C00109","Anaerotruncus colihominis"
"46","Production (export)","C00109","Clostridium sporogenes"
"47","Consumption (import)","C00109","Porphyromonas asaccharolytica"
"49","Consumption (import)","C00568","Bifidobacterium longum"
"50","Consumption (import)","C00568","Clostridium acetobutylicum"
"51","Consumption (import)","C00568","Clostridium butyricum"
"52","Consumption (import)","C00568","Lacticaseibacillus casei"
"53","Consumption (import)","C00568","Lactiplantibacillus plantarum"
"54","Consumption (import)","C00568","Ruminococcus albus"
"55","Consumption (import)","C00334","Agrobacterium tumefaciens"
"56","Consumption (import)","C00334","Anaerostipes caccae"
"57","Consumption (import)","C00334","Bacillus subtilis"
