"","Term","Overlap","P.value","Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","cellular response to cytokine stimulus (GO:0071345)","14/482",1.2288830488828e-07,9.89304102884467e-05,6.75929238719936,107.553792767268,"IL32;SMAD3;ANXA1;MMP1;CCL20;MT1X;VEGFA;CXCL10;MT2A;FSCN1;TIMP1;CD47;GAPDH;SLC26A6"
"2","hemidesmosome assembly (GO:0031581)","4/12",2.8238186983048e-07,9.89304102884467e-05,103.604166666667,1562.35140664825,"LAMB3;KRT14;LAMC2;KRT5"
"3","response to zinc ion (GO:0010043)","5/29",3.04971982817141e-07,9.89304102884467e-05,43.5877192982456,653.948554361597,"MT2A;MT1G;MT1X;CRIP1;MT1E"
"4","extracellular matrix organization (GO:0030198)","11/300",3.12083313212766e-07,9.89304102884467e-05,8.38696007153688,125.636625432419,"MMP7;LAMB3;MMP1;ITGA3;COL7A1;BGN;CYP1B1;LAMC2;TIMP1;CD47;MMP10"
"5","cytokine-mediated signaling pathway (GO:0019221)","15/621",4.48563953056378e-07,0.000113755818495097,5.61852067559697,82.1271222946624,"IFITM3;IL32;ANXA1;TNFRSF12A;MMP1;CCL20;HLA-A;SOD2;VEGFA;CXCL10;MT2A;TMSB4X;FSCN1;TIMP1;B2M"
"6","negative regulation of endopeptidase activity (GO:0010951)","6/63",7.24522615674501e-07,0.000131242096667895,22.2206047032475,314.149417696735,"SERPINA3;SERPINB1;SERPINB13;TIMP1;GAPDH;SERPINB6"
"7","negative regulation of peptidase activity (GO:0010466)","6/63",7.24522615674501e-07,0.000131242096667895,22.2206047032475,314.149417696735,"SERPINA3;SERPINB1;SERPINB13;TIMP1;GAPDH;SERPINB6"
"8","regulation of cell migration (GO:0030334)","12/408",9.20996442278034e-07,0.000145977936101068,6.71625344352617,93.34121201055,"JAG1;MMP7;ANXA1;CAV1;TMSB4X;CYP1B1;FLNA;LAMC2;SOD2;CLDN1;TMSB10;VEGFA"
"9","extracellular structure organization (GO:0043062)","9/216",1.37514244501959e-06,0.000170462825509001,9.4089823220258,126.992594397167,"MMP7;LAMB3;MMP1;ITGA3;COL7A1;BGN;LAMC2;CD47;MMP10"
"10","external encapsulating structure organization (GO:0045229)","9/217",1.42876647505117e-06,0.000170462825509001,9.36327134404057,126.017451525041,"MMP7;LAMB3;MMP1;ITGA3;COL7A1;BGN;LAMC2;CD47;MMP10"
