Metabolic_activity	compound	taxonomy ID
Production (export)	C03044, C03046	1423
Consumption (import)	C03044, C03046	1718
Production (export)	C03044, C03046	69218
Production (export)	C03044, C03046	550
Consumption (import) & production (export)	C03044, C03046	573
Production (export)	C03044, C03046	244366
Production (export)	C03044, C03046	1590
Consumption (import)	C03044, C03046	19
Consumption (import)	C03044, C03046	29543
Consumption (import)	C03044, C03046	287
Consumption (import)	C00641, C01885 	 
Production (export)	C01380	818
Consumption (import)	C01380	19
Consumption (import)	C01380	29543
Consumption (import)	C01380	110500
Consumption (import)	C01380	119484
Consumption (import)	C01380	51197
Consumption (import)	C01380	863
Consumption (import)	C01380	86170
Consumption (import)	C01380	316277
Production (export)	C00583, C02912, C02917	818
Production (export)	C00583, C02912, C02917	216816
Consumption (import)	C00583, C02912, C02917	1492
Production (export)	C00583, C02912, C02917	1581
Consumption (import)	C00583, C02912, C02917	19
Consumption (import)	C00583, C02912, C02917	28901
Production (export)	C02457	545
Production (export)	C02457	67825
Production (export)	C02457	133448
Production (export)	C02457	167642
Production (export)	C02457	573
Production (export)	C02457	1580
Production (export)	C02457	1581
Consumption (import) & production (export)	C02457	19
Consumption (import)	C02457	110500
Production (export)	C02261, C02356	1491
Production (export)	C02261, C02356	1509
Production (export)	C02261, C02356	1511
Consumption (import)	C18319	 
Consumption (import)	C18319	894
Consumption (import)	C18319	833
Consumption (import)	C18319	839
Consumption (import)	C18319	1264
Consumption (import)	C18319	40518
Consumption (import)	C00109	169435
Production (export)	C00109	1509
Consumption (import)	C00109	28123
Consumption (import)	C05629	 
Consumption (import)	C00568	216816
Consumption (import)	C00568	1488
Consumption (import)	C00568	1492
Consumption (import)	C00568	1582
Consumption (import)	C00568	1590
Consumption (import)	C00568	1264
Consumption (import)	C00334	358
Consumption (import)	C00334	105841
Consumption (import)	C00334	1423
Production (export)	C00334	1680
Production (export)	C00334	1689
Production (export)	C00334	216816
Consumption (import)	C00334	1488
Production (export)	C00334	1491
Production (export)	C00334	1496
Production (export)	C00334	1509
Consumption (import)	C00334	 
Consumption (import)	C00334	1718
Production (export)	C00334	562
Production (export)	C00334	1580
Production (export)	C00334	47715
Production (export)	C00334	287
Production (export)	C00334	294
Production (export)	C00431	1491
Production (export)	C00431	1496
Production (export)	C00431	1509
Production (export)	C00431	1511
Consumption (import)	C00084	 
Production (export)	C00033	35830
Production (export)	C00033	438
Production (export)	C00033	28187
Production (export)	C00033	2148
Production (export)	C00033	905
Production (export)	C00033	103618
Production (export)	C00033	1660
Production (export)	C00033	544580
Production (export)	C00033	103621
Production (export)	C00033	1656
Consumption (import) & production (export)	C00033	105841
Production (export)	C00033	169435
Production (export)	C00033	2234
Production (export)	C00033	1382
Production (export)	C00033	1383
Production (export)	C00033	82135
Production (export)	C00033	1423
Production (export)	C00033	47678
Production (export)	C00033	246787
Production (export)	C00033	310298
Production (export)	C00033	387090
Production (export)	C00033	357276
Production (export)	C00033	28111
Production (export)	C00033	338188
Production (export)	C00033	817
Production (export)	C00033	290053
Production (export)	C00033	329854
Production (export)	C00033	28116
Production (export)	C00033	384638
Production (export)	C00033	310297
Production (export)	C00033	376805
Production (export)	C00033	46506
Production (export)	C00033	818
Production (export)	C00033	820
