species,COAD,LUAD,LUSC,OtherCR,OtherLung,OtherPancreatic,PAAD,READ,SARC,SCLC,SKCM,THCA
1,Epseptimavirus STG2,0.004,0,0.0078740157480315,0.0256410256410256,0,0,0.0128205128205128,0.0105263157894737,0.00144717800289436,0,0.0072463768115942,0.00743494423791822
2,Ruminococcus bovis,0.03,0.0191570881226054,0,0.0512820512820513,0.00961538461538462,0.0138888888888889,0,0.0736842105263158,0.0144717800289436,0,0,0.00557620817843866
3,Celeribacter indicus,0.002,0,0.0078740157480315,0,0,0,0.00641025641025641,0,0.00289435600578871,0,0,0
4,Tannerella serpentiformis,0.002,0.00766283524904215,0.015748031496063,0,0.00961538461538462,0,0,0.0105263157894737,0.00868306801736614,0.0384615384615385,0.0144927536231884,0.00185873605947955
5,Cyprinid herpesvirus 3,0.002,0,0,0,0,0.00925925925925926,0.0128205128205128,0,0.00144717800289436,0,0.0072463768115942,0.00371747211895911
6,Rothia aeria,0.02,0.0306513409961686,0.015748031496063,0.0256410256410256,0.00961538461538462,0.0185185185185185,0.0256410256410256,0.0105263157894737,0.0188133140376266,0,0.0289855072463768,0.0111524163568773
7,Cellulomonas gilvus,0.032,0.0153256704980843,0.0078740157480315,0.0256410256410256,0.0192307692307692,0.00925925925925926,0.00641025641025641,0,0.0130246020260492,0,0.0144927536231884,0.00929368029739777
8,Porphyromonas cangingivalis,0.018,0.0229885057471264,0.015748031496063,0,0.00961538461538462,0.0138888888888889,0.0192307692307692,0.0315789473684211,0.0217076700434153,0.0384615384615385,0.0289855072463768,0.0223048327137546
9,Minicystis rosea,0.002,0,0,0,0,0,0,0.0105263157894737,0.00144717800289436,0,0.0072463768115942,0.00185873605947955
10,Actinomyces procaprae,0.004,0.00766283524904215,0.015748031496063,0.0256410256410256,0,0.00925925925925926,0.00641025641025641,0.0315789473684211,0.00434153400868307,0.0384615384615385,0,0.00557620817843866
11,Methylobacterium aquaticum,0.048,0.0459770114942529,0.047244094488189,0.0256410256410256,0.0576923076923077,0.00925925925925926,0.0192307692307692,0.0421052631578947,0.0246020260492041,0.0384615384615385,0.0507246376811594,0.0297397769516729
12,Dechloromonas sp. TW-R-39-2,0.002,0.00383141762452107,0,0.0256410256410256,0.00961538461538462,0,0,0,0.0115774240231548,0,0.0072463768115942,0.00929368029739777
13,Syntrophotalea carbinolica,0.008,0.0114942528735632,0,0,0,0.00462962962962963,0,0,0.00434153400868307,0,0.0072463768115942,0.00557620817843866
14,Auraticoccus monumenti,0.03,0.0421455938697318,0.015748031496063,0,0.0384615384615385,0.0231481481481481,0.0256410256410256,0.0421052631578947,0.0231548480463097,0,0.0144927536231884,0.0130111524163569
15,Anaerolinea thermophila,0.012,0.0191570881226054,0.0078740157480315,0,0.00961538461538462,0.00462962962962963,0,0.0105263157894737,0.0159189580318379,0,0,0.0111524163568773
16,Saccharomonospora glauca,0.006,0.0114942528735632,0.0078740157480315,0,0,0,0,0,0.00144717800289436,0,0,0
17,Plodia interpunctella granulovirus,0.004,0.00766283524904215,0.0078740157480315,0,0,0,0,0,0.00289435600578871,0,0.0072463768115942,0.00929368029739777
18,Pseudomonas sp. DTU12.1,0.004,0.00383141762452107,0.015748031496063,0,0,0,0,0,0,0,0,0
19,Qipengyuania aurantiaca,0.012,0.00383141762452107,0,0,0,0,0,0.0105263157894737,0.00289435600578871,0.0384615384615385,0,0
20,Streptococcus lactarius,0.008,0.00766283524904215,0,0,0,0,0,0,0.00144717800289436,0,0,0
21,Usitatibacter rugosus,0.008,0,0,0.0256410256410256,0,0,0.0128205128205128,0,0.00144717800289436,0,0,0
22,Mycolicibacterium sediminis,0.004,0.00766283524904215,0,0,0,0,0.00641025641025641,0,0.00434153400868307,0,0.0144927536231884,0.00371747211895911
23,Mycolicibacterium arabiense,0.02,0.00383141762452107,0,0,0.00961538461538462,0.00462962962962963,0.0128205128205128,0.0210526315789474,0.00723589001447178,0.0384615384615385,0.0217391304347826,0.00929368029739777
24,Myxococcus xanthus,0.002,0,0,0,0,0,0,0,0,0,0,0
25,Schaalia turicensis,0.02,0.0114942528735632,0.0236220472440945,0.0256410256410256,0.0192307692307692,0.00462962962962963,0.00641025641025641,0.0631578947368421,0.00868306801736614,0,0.0072463768115942,0.0130111524163569
26,Pseudomonas qingdaonensis,0.012,0.00766283524904215,0,0.0256410256410256,0.0384615384615385,0.00462962962962963,0,0.0105263157894737,0.00289435600578871,0.0384615384615385,0.0144927536231884,0.0130111524163569
27,Pseudomonas alkylphenolica,0.006,0.0459770114942529,0.094488188976378,0.0512820512820513,0,0.00462962962962963,0.0128205128205128,0.0210526315789474,0.0130246020260492,0,0.0579710144927536,0.0687732342007435
28,Pseudomonas psychrotolerans,0.014,0.00383141762452107,0,0.0256410256410256,0.0192307692307692,0,0,0.0105263157894737,0.00144717800289436,0,0,0.00371747211895911
29,Bacteroides luhongzhouii,0.036,0.00383141762452107,0.0078740157480315,0.0512820512820513,0,0,0,0.0105263157894737,0.00289435600578871,0,0.0144927536231884,0.00743494423791822
30,Corynebacterium halotolerans,0.006,0,0,0,0,0,0,0,0,0,0,0.00185873605947955
31,Erythrobacter sp. HL-111,0.012,0.00383141762452107,0.0236220472440945,0,0,0.00925925925925926,0.00641025641025641,0.0315789473684211,0.00289435600578871,0,0.0072463768115942,0.00185873605947955
32,Actinomyces sp. HMT 175,0.014,0.0306513409961686,0,0,0.0192307692307692,0.0138888888888889,0.032051282051282,0,0.00578871201157742,0,0.036231884057971,0.00929368029739777
33,Sphingomonas sp. NBWT7,0.002,0.0114942528735632,0.0078740157480315,0,0.0192307692307692,0,0,0,0.0101302460202605,0,0,0.00557620817843866
