"","Term","Overlap","P.value","Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","epidermal cell differentiation (GO:0009913)","8/53",2.16272422563091e-10,2.03079804786742e-07,38.3671497584541,853.841054715191,"CERS3;SPRR3;CSTA;SPINK5;AKR1C3;TXNIP;KRT10;SPRR1B"
"2","keratinocyte differentiation (GO:0030216)","7/41",1.23465492383062e-09,5.79670486738474e-07,43.9791271347249,902.120715958797,"CERS3;SPRR3;CSTA;AKR1C3;TXNIP;KRT10;SPRR1B"
"3","skin development (GO:0043588)","8/80",6.33295816074112e-09,1.98221590431197e-06,23.9468599033816,452.056809175386,"CERS3;SPRR3;CLDN4;CSTA;AKR1C3;TXNIP;KRT10;SPRR1B"
"4","epidermis development (GO:0008544)","7/83",1.92173948966784e-07,4.51128345199525e-05,19.6332767402377,303.625972152888,"CERS3;SPRR3;CALML5;FABP5;KRT15;SPINK5;SPRR1B"
"5","peptide cross-linking (GO:0018149)","4/31",1.66875560293563e-05,0.00313392302231312,30.6682098765432,337.376292719662,"CSTA;KRT1;KRT10;SPRR1B"
"6","cellular response to oxidative stress (GO:0034599)","6/125",3.89795708283564e-05,0.0056897125393756,10.6102270695512,107.720042510523,"JUN;GPX2;GPX3;AKR1C3;FOS;HSPA1A"
"7","renal absorption (GO:0070293)","3/14",4.24153224447596e-05,0.0056897125393756,55.9203373945642,563.006006243408,"CLDN4;AKR1C3;SGK1"
"8","negative regulation of proteolysis (GO:0045861)","4/43",6.25094236149621e-05,0.00733704359680617,21.2190170940171,205.404185721514,"EPHA4;CSTA;TIMP3;PLAT"
"9","fatty acid transport (GO:0015908)","3/20",0.00012997496316054,0.0135607211564164,36.1728320194057,323.680603886026,"FABP4;FABP5;CD36"
"10","lipid transport across blood-brain barrier (GO:1990379)","2/5",0.000245087170998512,0.0202399885763258,135.353741496599,1125.31701267514,"FABP5;CD36"
"11","cellular response to reactive oxygen species (GO:0034614)","4/63",0.000279497344115111,0.0202399885763258,14.0120056497175,114.653485189727,"JUN;AKR1C3;FOS;RHOB"
"12","negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)","4/64",0.000296993951805461,0.0202399885763258,13.7777777777778,111.900338797098,"HSPB1;ACKR3;CLU;HSPA1A"
"13","diterpenoid metabolic process (GO:0016101)","4/64",0.000296993951805461,0.0202399885763258,13.7777777777778,111.900338797098,"AKR1B10;ALDH1A1;AKR1C3;ADH7"
"14","cellular response to cadmium ion (GO:0071276)","3/27",0.000325124352919345,0.0202399885763258,25.6134020618557,205.708988323138,"JUN;AKR1C3;FOS"
"15","positive regulation of cell death (GO:0010942)","4/66",0.000334323110109743,0.0202399885763258,13.3319892473118,106.70127789939,"AKR1C3;CD36;FOS;CLU"
"16","cellular heat acclimation (GO:0070370)","2/6",0.000366432168048497,0.0202399885763258,101.510204081633,803.117990717184,"HSPA6;HSPA1A"
"17","heat acclimation (GO:0010286)","2/6",0.000366432168048497,0.0202399885763258,101.510204081633,803.117990717184,"HSPA6;HSPA1A"
"18","response to cadmium ion (GO:0046686)","3/29",0.000403221018968546,0.0203820093454102,23.6407613005551,184.776798180826,"JUN;AKR1C3;FOS"
"19","platelet degranulation (GO:0002576)","5/125",0.000412415524561017,0.0203820093454102,8.67543859649123,67.6118499238728,"SELENOP;TIMP3;CD36;CLU;TUBA4A"
"20","negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)","2/7",0.00051133277923463,0.0240070739850659,81.2040816326531,615.404316417306,"SLC25A5;HSPA1A"
"21","long-chain fatty acid transport (GO:0015909)","3/32",0.000541421069107827,0.0242092563758214,21.1919658727337,159.391414042061,"FABP4;FABP5;CD36"
"22","proteolysis (GO:0006508)","7/287",0.000597815353037668,0.0255158462046532,5.2741935483871,39.1462703332635,"MMP12;PIP;PLAT;TMPRSS11E;CTSD;WFDC2;TMPRSS11D"
"23","negative regulation of mitochondrion organization (GO:0010823)","3/34",0.000648483947959066,0.0264750620492853,19.8227469238444,145.516273766311,"SLC25A5;CLU;HSPA1A"
"24","neutrophil degranulation (GO:0043312)","9/481",0.000685769578549537,0.0267154901685312,4.07086980815794,29.6561598587786,"CALML5;FABP5;KRT1;HSPA6;CD36;CTSD;S100A8;FTL;HSPA1A"
"25","neutrophil activation involved in immune response (GO:0002283)","9/485",0.000727284787753722,0.0267154901685312,4.03582971650199,29.1636821343582,"CALML5;FABP5;KRT1;HSPA6;CD36;CTSD;S100A8;FTL;HSPA1A"
"26","neutrophil mediated immunity (GO:0002446)","9/488",0.000759751992323975,0.0267154901685312,4.00993369886898,28.8014229912551,"CALML5;FABP5;KRT1;HSPA6;CD36;CTSD;S100A8;FTL;HSPA1A"
"27","retina homeostasis (GO:0001895)","3/36",0.000768177033599937,0.0267154901685312,18.6194939081537,133.529520677171,"PIP;KRT1;HSPB1"
"28","progesterone metabolic process (GO:0042448)","2/9",0.000870867194754317,0.0292051534240823,57.997084548105,408.648679561366,"AKR1C3;AKR1C2"
"29","cellular response to prostaglandin stimulus (GO:0071379)","2/10",0.00108503842061186,0.0328661637727269,50.7448979591837,346.391771762865,"AKR1C3;AKR1C2"
"30","negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)","2/10",0.00108503842061186,0.0328661637727269,50.7448979591837,346.391771762865,"JUN;HSPA1A"
"31","primary alcohol catabolic process (GO:0034310)","2/10",0.00108503842061186,0.0328661637727269,50.7448979591837,346.391771762865,"AKR1B10;AKR1C3"
"32","retinoid metabolic process (GO:0001523)","4/92",0.00117383744593897,0.0344447925542717,9.38068181818182,63.2959350834557,"AKR1B10;ALDH1A1;AKR1C3;ADH7"
"33","regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)","2/11",0.0013218400851343,0.0365061129394444,45.1043083900227,298.984305122014,"CD81;LGALS7"
"34","cyclooxygenase pathway (GO:0019371)","2/11",0.0013218400851343,0.0365061129394444,45.1043083900227,298.984305122014,"CBR1;AKR1C3"
"35","response to amyloid-beta (GO:1904645)","3/44",0.00138425852269568,0.0371376786517499,14.9803872265527,98.6097568216037,"MMP12;EPHA4;CD36"
"36","ethanol oxidation (GO:0006069)","2/12",0.00158104510229119,0.0403601217817317,40.5918367346939,261.803918893847,"ALDH1A1;ADH7"
"37","epithelial cell differentiation (GO:0030855)","4/101",0.00165754072306888,0.0403601217817317,8.50644329896907,54.4618249794084,"CBR1;KRT4;SPINK5;AKR1C2"
"38","regulation of cell death (GO:0010941)","4/102",0.0017186513921803,0.0403601217817317,8.41921768707483,53.5985530429797,"AKR1C3;CD36;CLU;HSPA1A"
"39","central nervous system projection neuron axonogenesis (GO:0021952)","2/13",0.00186242805035638,0.0403601217817317,36.899814471243,231.947593213754,"EPHB6;EPHA4"
"40","positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)","2/13",0.00186242805035638,0.0403601217817317,36.899814471243,231.947593213754,"CD81;HLA-DRA"
"41","protein heterotetramerization (GO:0051290)","2/13",0.00186242805035638,0.0403601217817317,36.899814471243,231.947593213754,"KRT1;KRT10"
"42","receptor internalization (GO:0031623)","3/49",0.00189120911437294,0.0403601217817317,13.3487225459435,83.703684141881,"CD81;ACKR3;CD36"
"43","response to unfolded protein (GO:0006986)","3/49",0.00189120911437294,0.0403601217817317,13.3487225459435,83.703684141881,"HSPA6;HSPB1;HSPA1A"
"44","positive regulation of reactive oxygen species metabolic process (GO:2000379)","3/49",0.00189120911437294,0.0403601217817317,13.3487225459435,83.703684141881,"CBR1;AKR1C3;CD36"
"45","regulated exocytosis (GO:0045055)","5/180",0.00211026119258516,0.0440341168852771,5.93233082706767,36.5487553526087,"SELENOP;TIMP3;CD36;CLU;TUBA4A"
"46","cellular response to low-density lipoprotein particle stimulus (GO:0071404)","2/14",0.00216576516004231,0.0442098583756464,33.8231292517007,207.504274169846,"CD81;CD36"
"47","regulation of immune effector process (GO:0002697)","3/53",0.00237020480089914,0.0473536661286021,12.2783505154639,74.219914290735,"CD81;HLA-DRA;CLU"
"48","fibrinolysis (GO:0042730)","2/15",0.00249083430520832,0.0487269460956377,31.2197802197802,187.166877082159,"KRT1;PLAT"
"49","response to lipid (GO:0033993)","4/114",0.00257849861503089,0.0494124530513063,7.49621212121212,44.681532028702,"GPX3;CD36;AQP3;S100A8"
"50","regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)","2/16",0.00283741499181759,0.0532866535463344,28.9883381924198,170.012598917729,"ACKR3;CLU"
"51","arachidonic acid metabolic process (GO:0019369)","3/57",0.00291809594754171,0.0537272959753268,11.3665521191294,66.3445636168701,"CBR1;EPHX1;AKR1C3"
"52","receptor metabolic process (GO:0043112)","3/58",0.00306619730639825,0.0549544103065281,11.1593252108716,64.5825541481917,"CD81;ACKR3;CD36"
"53","cellular response to fatty acid (GO:0071398)","2/17",0.00320528834894988,0.0549544103065281,27.0544217687075,155.372278725068,"AKR1C3;AKR1C2"
"54","protein heterooligomerization (GO:0051291)","2/17",0.00320528834894988,0.0549544103065281,27.0544217687075,155.372278725068,"KRT1;KRT10"
"55","response to reactive oxygen species (GO:0000302)","3/59",0.00321884192423753,0.0549544103065281,10.959499263623,62.8936470466217,"JUN;AKR1C3;FOS"
"56","epithelium development (GO:0060429)","4/122",0.00329262302177257,0.055210232454365,6.98516949152542,39.9277230897484,"CBR1;KRT4;SPINK5;AKR1C2"
"57","regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)","2/18",0.00359423711737408,0.0572031975121061,25.3622448979592,142.749455625051,"SLC25A5;HSPA1A"
"58","positive regulation of amyloid-beta formation (GO:1902004)","2/18",0.00359423711737408,0.0572031975121061,25.3622448979592,142.749455625051,"EPHA4;CLU"
"59","prostanoid metabolic process (GO:0006692)","2/18",0.00359423711737408,0.0572031975121061,25.3622448979592,142.749455625051,"AKR1C3;AKR1C2"
"60","negative regulation of peptidase activity (GO:0010466)","3/63",0.0038757213407074,0.0606419170134893,10.2268041237113,56.7896834351746,"CSTA;SPINK5;TIMP3"
"61","ethanol metabolic process (GO:0006067)","2/19",0.00400404563880334,0.0606419170134893,23.8691476590636,131.768436654952,"ALDH1A1;ADH7"
"62","prostaglandin biosynthetic process (GO:0001516)","2/19",0.00400404563880334,0.0606419170134893,23.8691476590636,131.768436654952,"CBR1;AKR1C3"
"63","chaperone-mediated protein complex assembly (GO:0051131)","2/22",0.00535649695773258,0.0785898538017327,20.2857142857143,106.083028567318,"CLU;HSPA1A"
"64","positive regulation of amyloid precursor protein catabolic process (GO:1902993)","2/22",0.00535649695773258,0.0785898538017327,20.2857142857143,106.083028567318,"EPHA4;CLU"
"65","triglyceride catabolic process (GO:0019433)","2/23",0.00584761959206228,0.084475612260715,19.3187560738581,99.3316462237063,"FABP4;FABP5"
"66","C21-steroid hormone metabolic process (GO:0008207)","2/24",0.00635854736076345,0.0904647874508618,18.4397031539889,93.2671948534304,"AKR1C3;AKR1C2"
"67","positive regulation of transferase activity (GO:0051347)","4/148",0.00652012951086752,0.0913791285179791,5.71643518518519,28.7700239289792,"EPHB6;EPHA4;ARRDC3;DBI"
"68","negative regulation of response to endoplasmic reticulum stress (GO:1903573)","2/25",0.00688907400282997,0.0951300071861374,17.6370896184561,87.7942327571282,"CLU;HSPA1A"
"69","negative regulation of apoptotic signaling pathway (GO:2001234)","3/78",0.00703533563956652,0.0957417415297531,8.17525773195876,40.5231982940018,"SLC25A5;CLU;HSPA1A"
"70","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)","2/26",0.0074389947886241,0.0983833254439159,16.9013605442177,82.8338984204336,"ACKR3;CLU"
"71","chaperone cofactor-dependent protein refolding (GO:0051085)","2/26",0.0074389947886241,0.0983833254439159,16.9013605442177,82.8338984204336,"HSPA6;HSPA1A"
"72","positive regulation of NF-kappaB transcription factor activity (GO:0051092)","4/155",0.00765370569167659,0.0998170783956155,5.44950331125828,26.553060978024,"CD36;CLU;S100A8;HSPA1A"
"73","cellular response to unfolded protein (GO:0034620)","2/27",0.00800810651058956,0.101616378560049,16.2244897959184,78.3204947866311,"HSPA6;HSPA1A"
"74","positive regulation of nitric oxide biosynthetic process (GO:0045429)","2/27",0.00800810651058956,0.101616378560049,16.2244897959184,78.3204947866311,"CD36;CLU"
"75","positive regulation of nitric oxide metabolic process (GO:1904407)","2/28",0.00859620747114401,0.107624517538723,15.5996860282575,74.1988795836398,"CD36;CLU"
"76","transport across blood-brain barrier (GO:0150104)","3/86",0.00919670427931818,0.113627701556313,7.38430008694572,34.6243191824314,"SLC7A8;FABP5;CD36"
"77","cellular protein-containing complex assembly (GO:0034622)","4/168",0.0100885444451347,0.122920396958418,5.01422764227642,23.047168851594,"CENPW;CLU;RAB5IF;HSPA1A"
"78","'de novo' posttranslational protein folding (GO:0051084)","2/31",0.0104724512850622,0.122920396958418,13.9838142153413,63.7523090878691,"HSPA6;HSPA1A"
"79","negative regulation of response to DNA damage stimulus (GO:2001021)","2/31",0.0104724512850622,0.122920396958418,13.9838142153413,63.7523090878691,"ACKR3;CLU"
"80","prostaglandin metabolic process (GO:0006693)","2/31",0.0104724512850622,0.122920396958418,13.9838142153413,63.7523090878691,"AKR1C3;AKR1C2"
"81","cellular response to topologically incorrect protein (GO:0035967)","2/32",0.0111345221222249,0.12750385698499,13.5170068027211,60.795507674817,"HSPA6;HSPA1A"
"82","positive regulation of immune effector process (GO:0002699)","2/32",0.0111345221222249,0.12750385698499,13.5170068027211,60.795507674817,"CD81;HLA-DRA"
"83","protein stabilization (GO:0050821)","4/179",0.0125026307917826,0.138226105068693,4.69642857142857,20.5788867657871,"EPHA4;ATP1B3;CLU;HSPA1A"
"84","regulation of amyloid-beta formation (GO:1902003)","2/34",0.0125124802245356,0.138226105068693,12.6709183673469,55.5116572102178,"EPHA4;CLU"
"85","positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)","2/34",0.0125124802245356,0.138226105068693,12.6709183673469,55.5116572102178,"JUN;FOS"
"86","positive regulation of cold-induced thermogenesis (GO:0120162)","3/97",0.0127385466637258,0.139087154851611,6.51656064926519,28.4325537727779,"FABP4;FABP5;CD36"
"87","acylglycerol catabolic process (GO:0046464)","2/35",0.0132279832722483,0.141148594234559,12.2863327149041,53.1435584472206,"FABP4;FABP5"
"88","cellular response to amyloid-beta (GO:1904646)","2/35",0.0132279832722483,0.141148594234559,12.2863327149041,53.1435584472206,"EPHA4;CD36"
"89","cellular response to heat (GO:0034605)","2/36",0.0139609152364796,0.147295498955667,11.9243697478992,50.9348693298221,"HSPA6;HSPA1A"
"90","cellular response to chemical stress (GO:0062197)","3/101",0.0141941327321631,0.148092118172235,6.24931622133389,26.590381744701,"GPX2;GPX3;HSPA1A"
"91","regulation of erythrocyte differentiation (GO:0045646)","2/37",0.0147110875878219,0.151799024669942,11.5830903790087,48.8708399253876,"MAFB;HSPA1A"
"92","cellular response to ketone (GO:1901655)","2/39",0.0162624064321538,0.164197845589166,10.9558742415885,45.1261415257865,"AKR1C3;AKR1C2"
"93","odontogenesis (GO:0042476)","2/39",0.0162624064321538,0.164197845589166,10.9558742415885,45.1261415257865,"AMTN;AQP3"
"94","negative regulation of blood coagulation (GO:0030195)","2/40",0.0170631829128301,0.168656092159447,10.6670247046187,43.4236674606069,"KRT1;PLAT"
"95","regulation of nitric oxide biosynthetic process (GO:0045428)","2/40",0.0170631829128301,0.168656092159447,10.6670247046187,43.4236674606069,"CD36;CLU"
"96","lipid transport (GO:0006869)","3/109",0.0173780716412014,0.169275297786512,5.77533553783311,23.4048136142864,"GLTP;FABP5;CD36"
"97","regulation of signal transduction (GO:0009966)","4/198",0.0174863726147941,0.169275297786512,4.2323883161512,17.1256542440501,"AKR1C3;RSPO3;CD36;CLU"
"98","Fc-epsilon receptor signaling pathway (GO:0038095)","3/111",0.0182312795363318,0.171699443715261,5.66781214203895,22.6974140470314,"MAPK10;JUN;FOS"
"99","Fc receptor signaling pathway (GO:0038093)","3/112",0.0186665018739365,0.171699443715261,5.6155301239005,22.3555641556835,"MAPK10;JUN;FOS"
"100","regulation of angiogenesis (GO:0045765)","4/203",0.0189765687901939,0.171699443715261,4.125,16.3537699150151,"SPINK5;KRT1;HSPB1;RHOB"
"101","positive regulation of metabolic process (GO:0009893)","3/113",0.0191074760635156,0.171699443715261,5.56419868791003,22.0212934005866,"FABP4;FABP5;CD36"
"102","regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)","2/45",0.0213109604144822,0.171699443715261,9.42429995253915,36.2697365803843,"JUN;FOS"
"103","cytoskeleton organization (GO:0007010)","3/120",0.0223556200014071,0.171699443715261,5.2294475284166,19.875443743441,"KRT4;KRT13;RHOB"
