Geneid,sample1,sample2,sample3,sample4,sample5,sample6
DDX11L1,0,0,0,0,0,3
WASH7P,175,255,94,161,88,121
MIR6859-1,6,10,0,10,5,0
MIR1302-2HG,18,2,0,4,2,0
MIR1302-2,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0
AL627309.1,0,0,1,0,0,0
AL627309.3,0,0,0,0,0,0
CICP27,1,10,8,8,1,0
AL627309.6,39,35,17,22,41,9
AL627309.7,76,54,52,71,65,26
AL627309.2,5,6,2,9,6,8
AL627309.5,8,9,6,1,3,6
RNU6-1100P,0,0,0,0,1,0
AL627309.4,0,0,0,0,0,0
FO538757.1,0,0,0,0,0,0
WASH9P,300,335,191,329,311,245
MIR6859-2,0,0,0,6,0,0
AP006222.1,55,30,42,29,20,39
AP006222.2,0,0,0,0,0,0
RPL23AP24,0,0,0,0,0,0
AL732372.1,0,0,0,0,0,0
AL732372.2,81,103,32,103,41,68
WBP1LP7,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0
CICP7,0,1,1,0,0,0
AL732372.3,11,4,4,6,3,2
FO681485.1,0,0,0,0,0,0
AL669831.3,43,20,7,24,30,29
AC114498.1,0,0,0,0,0,0
MTND1P23,9,14,19,14,10,5
MTND2P28,7221,6571,5926,8346,5104,3944
MTCO1P12,3087,2231,1996,2623,1832,3661
AC114498.2,0,0,0,0,0,0
MTCO2P12,5,8,8,5,4,3
MTATP8P1,0,0,0,0,0,1
MTATP6P1,46540,38177,35189,44761,29509,24924
MTCO3P12,56,37,37,53,26,43
WBP1LP6,0,0,0,0,0,0
OR4F16,0,0,0,0,0,1
CICP3,8,4,1,12,0,0
AL669831.1,291,237,120,152,196,216
RNU6-1199P,0,0,0,0,0,0
AL669831.2,0,0,0,0,0,1
LINC01409,47,50,55,63,35,27
AL669831.6,0,0,0,0,0,0
AL669831.4,2,3,1,15,2,0
FAM87B,14,4,0,11,16,18
LINC01128,1893,1665,1189,1659,1456,2209
LINC00115,32,59,22,31,11,20
AL669831.7,3,4,0,0,0,2
FAM41C,0,0,0,0,3,0
TUBB8P11,0,0,0,0,0,0
AL669831.5,0,0,0,0,0,0
AL645608.6,7,1,0,5,7,1
AL645608.2,16,16,2,2,20,24
AL645608.4,1,0,0,0,0,0
LINC02593,104,163,46,70,66,67
SAMD11,138,228,54,110,115,41
NOC2L,3821,3728,2615,3313,2792,4076
KLHL17,537,642,408,542,336,255
PLEKHN1,18,8,14,2,22,6
PERM1,0,0,0,0,2,4
AL645608.7,18,66,24,45,8,11
HES4,2065,2765,2657,2743,1475,505
ISG15,2546,1974,1438,1484,1821,1230
AL645608.3,0,0,1,4,0,0
AL645608.1,8,10,9,10,3,14
AGRN,31074,30756,21327,30976,21674,13236
AL645608.5,0,0,0,0,0,0
AL390719.1,45,80,55,53,55,26
AL645608.8,4,10,2,0,6,0
RNF223,16,4,35,1,12,2
C1orf159,543,601,402,511,356,288
AL390719.3,31,16,2,23,25,9
LINC01342,0,0,2,0,0,0
MIR200B,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0
MIR429,0,0,0,0,5,0
AL390719.2,0,0,0,0,5,0
TTLL10-AS1,0,0,0,0,0,0
TTLL10,0,3,0,0,0,0
TNFRSF18,0,3,1,2,12,0
TNFRSF4,0,0,0,0,0,0
SDF4,9183,9065,8485,9243,6527,7006
B3GALT6,3216,3166,2434,3260,2149,1426
C1QTNF12,20,26,21,26,29,8
AL162741.1,2,7,10,2,1,6
UBE2J2,2114,2071,1904,2235,1588,1725
LINC01786,32,19,15,31,18,11
SCNN1D,216,176,103,199,143,143
ACAP3,3739,3999,3371,4073,2604,2541
MIR6726,0,0,0,0,0,0
PUSL1,587,511,483,534,375,290
INTS11,2818,2649,2093,2647,2137,2311
MIR6727,0,0,0,0,0,0
AL139287.1,73,32,23,74,39,60
CPTP,1441,1449,1317,1627,1001,896
TAS1R3,45,46,33,73,27,6
DVL1,2648,2461,2100,2441,1685,1501
MIR6808,0,0,0,0,0,0
MXRA8,2680,2229,1949,2024,1778,1420
AURKAIP1,4066,3365,3321,3802,2739,2972
NDUFB4P8,0,0,0,0,1,4
CCNL2,5831,6378,2802,5273,4449,4583
MRPL20-AS1,608,526,441,590,506,719
MRPL20,2163,1899,1685,1956,1520,3136
RN7SL657P,0,0,0,0,0,0
AL391244.2,116,131,67,93,105,123
ANKRD65,15,2,0,0,0,0
AL391244.1,0,0,0,0,0,0
TMEM88B,4,5,0,2,0,0
LINC01770,28,53,22,51,18,9
VWA1,517,763,309,414,459,245
ATAD3C,22,11,2,5,5,9
ATAD3B,1624,1325,946,1152,1035,1038
AL645728.2,7,12,15,14,12,5
ATAD3A,2644,2362,1686,2303,1695,2026
TMEM240,241,210,111,195,153,107
SSU72,5118,4894,4580,4833,3910,5229
AL645728.1,36,67,53,57,52,40
AL691432.3,0,0,0,0,0,0
FNDC10,978,818,478,960,675,369
AL691432.4,21,30,10,26,21,15
AL691432.2,480,521,365,504,404,325
MIB2,5159,4338,3021,4372,3792,2135
MMP23B,1018,576,555,350,569,134
CDK11B,1803,1609,1203,1540,1337,1798
FO704657.1,0,3,3,3,0,2
SLC35E2B,3708,3505,2119,3478,2807,3740
AL691432.1,58,56,22,72,23,55
MMP23A,56,73,34,52,48,28
CDK11A,36,24,11,32,19,16
AL031282.2,101,134,64,137,103,85
AL031282.1,33,11,11,21,21,31
SLC35E2A,879,815,477,769,530,670
NADK,1814,1867,1052,1530,1358,1570
GNB1,15283,17057,13318,15708,11712,18300
AL109917.1,28,21,16,24,11,11
CALML6,2,8,4,6,6,2
TMEM52,26,30,22,20,18,6
CFAP74,3,2,4,0,2,0
AL391845.2,0,0,0,0,0,0
GABRD,0,0,2,0,0,0
AL391845.1,0,0,2,2,2,0
PRKCZ,1370,1356,1439,1374,1136,1957
AL590822.2,8,2,3,7,5,6
PRKCZ-AS1,113,76,80,122,75,120
FAAP20,2407,2203,1926,2294,1426,1157
AL590822.1,2,0,1,0,0,0
SKI,4932,4671,4004,4856,3562,2695
AL590822.3,103,81,116,126,103,94
MORN1,376,292,222,300,240,233
AL589739.1,2,2,0,0,0,0
AL513477.1,38,40,4,32,36,39
AL513477.2,4,18,4,8,8,3
RER1,2837,2794,2245,2933,2133,3840
PEX10,792,714,667,765,574,631
PLCH2,80,72,28,72,39,57
AL139246.1,1,2,0,1,2,4
AL139246.4,5,3,0,2,9,0
PANK4,2035,1964,1323,1806,1541,2371
HES5,0,0,4,0,0,0
AL139246.5,6,16,24,13,4,10
TNFRSF14-AS1,0,0,0,1,0,0
TNFRSF14,0,0,0,2,0,4
AL139246.2,1,0,0,0,0,0
AL139246.3,2,4,0,0,0,4
PRXL2B,1072,1157,828,1088,748,872
MMEL1,6,12,4,2,1,10
MMEL1-AS1,0,0,0,0,0,0
TTC34,40,35,28,30,24,12
AC242022.2,0,0,0,0,0,0
AC242022.1,0,0,0,0,0,0
AL592464.2,0,0,0,0,0,0
AL592464.3,0,0,0,0,0,0
AL592464.1,0,0,0,0,0,0
AL589702.1,0,0,0,0,0,0
ACTRT2,0,0,2,0,0,0
PRDM16-DT,1089,890,386,594,973,497
PRDM16,2082,1172,678,1130,1368,1019
MIR4251,2,2,0,2,4,0
AL008733.1,9,0,0,0,5,2
AL512383.1,11,11,0,6,4,0
AL590438.1,81,13,31,19,31,74
AL354743.2,83,37,69,47,71,87
AL354743.1,5,6,4,12,7,10
ARHGEF16,581,327,390,385,493,471
AL512413.1,1,0,1,2,0,12
MEGF6,4337,3555,2698,3247,3056,1729
MIR551A,0,0,0,0,0,0
AL513320.1,3,8,11,24,12,2
TPRG1L,2363,2345,2639,2333,1699,3095
WRAP73,576,534,362,569,418,664
TP73,2,16,12,9,10,8
AL136528.1,0,0,0,0,0,0
AL136528.2,0,0,0,0,0,0
TP73-AS1,2387,2246,1425,2106,1618,1755
AL136528.3,0,0,0,0,0,0
CCDC27,38,31,53,46,25,30
SMIM1,218,100,140,147,101,88
LRRC47,4414,4026,3325,3885,3216,3317
RN7SL574P,5,2,4,4,4,1
AL365330.1,22,18,18,21,20,9
CEP104,1235,1303,700,1326,923,1310
DFFB,251,271,87,215,184,166
C1orf174,508,633,305,508,346,590
