"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","CD36",4.00906840364042e-156,-0.782351142122969,0.013,0.415,8.51846854405517e-152
"2","RSPO3",8.35091171295103e-152,-1.09028706113282,0.042,0.569,1.77440172076784e-147
"3","SELENOP",7.35113486891945e-145,-1.87194661276625,0.194,0.915,1.561969136948e-140
"4","ALDH1A1",4.00926589821635e-127,-1.14654068746423,0.092,0.691,8.5188881805301e-123
"5","TMPRSS11E",3.94231747261154e-100,-1.58491760553418,0.207,0.824,8.37663616580499e-96
"6","AKR1C2",2.01777603429964e-96,-2.16274907094324,0.439,0.968,4.28737051767988e-92
"7","DAPL1",8.71666035320424e-91,-0.975029167393341,0.097,0.601,1.85211599184884e-86
"8","AKR1C3",3.03147273619534e-81,-1.21646108813235,0.228,0.782,6.44127326986786e-77
"9","CALML5",1.27430303158491e-80,-1.38673261860115,0.077,0.511,2.70763908151162e-76
"10","BAALC",6.53601485395776e-80,-0.918744853764258,0.146,0.67,1.38877243616895e-75
"11","METTL7A",1.77124501204033e-79,-0.352623287805559,0.007,0.213,3.76354140158328e-75
"12","CRIP1",3.01052184686716e-77,1.87170287233322,0.976,0.755,6.39675682022335e-73
"13","CALML3",2.50419237285286e-75,-1.94391923420189,0.641,0.952,5.32090795383775e-71
"14","LGALS7",1.71510446389755e-67,-1.33222598351557,0.578,0.952,3.64425396488952e-63
"15","CRIP2",1.25612081752e-66,1.6563958944362,0.856,0.271,2.6690055130665e-62
"16","MMP7",1.0646046773105e-63,2.37262443119043,0.88,0.415,2.26207201834934e-59
"17","FTL",1.48797079285569e-58,-1.24059577750353,0.957,0.989,3.16164034065977e-54
"18","LGALS7B",2.62823718557066e-56,-1.21044578511564,0.376,0.846,5.58447837190053e-52
"19","LUCAT1",3.4290387167653e-56,-0.55678775079029,0.038,0.314,7.28602146538291e-52
"20","B2M",1.37755286774121e-54,0.584401652323546,1,1,2.92702433337653e-50
"21","STXBP5L",4.25047068993732e-53,-0.3047684892373,0.017,0.218,9.03140012197881e-49
"22","CSTA",1.89587967450615e-50,-1.34510923463471,0.929,0.995,4.02836513239067e-46
"23","IGFBP3",3.27982283994918e-50,2.2177148512013,0.864,0.489,6.96896757032402e-46
"24","TMSB10",5.8786960311569e-50,0.729304528039285,1,1,1.24910533270022e-45
"25","KRT17",8.03454265606298e-50,1.42225696229941,0.991,0.941,1.70717962356026e-45
"26","CLDN1",1.28352180125424e-49,1.18114766971413,0.966,0.84,2.727227123305e-45
"27","AQP3",9.38561086407464e-49,-1.22514273422011,0.911,0.984,1.99425459639858e-44
"28","CXCL17",2.52411254046025e-45,-1.15037720917783,0.342,0.782,5.36323432596993e-41
"29","HLA-A",5.89038931824325e-45,0.676547504521363,0.999,1,1.25158992234033e-40
"30","S100A10",5.07060190338238e-44,0.994211879164093,0.991,0.984,1.07740149243069e-39
"31","SPRR1B",1.06691248347221e-43,-1.49090670595003,0.607,0.926,2.26697564488176e-39
