index,tf_name,rss,rss_pval,gene_symbol
CT1-R1,HSF1,0.287264228494922,1,AP1B1;AURKB;CENPF;CKS1B;DLGAP5;PTTG1;SMC4;TOP2A;TPX2
CT1-R2,AP2D,0.285193930526793,1,ATAD2;BIRC5;CKS1B;CKS2;DEPDC1;DIAPH3;DLGAP5;FANCI;GGH;KIF20B;LARP1B;MCM3;MCM7;MELK;MKI67;MTHFD1L;NCAPD2;NUSAP1;PRC1;PSME4;SENP5;SETD3;TACC3;TMX1;TUBG1;UFD1
CT1-R3,ZN770,0.284572455368543,1,FLRT3;ABL1;ABT1;ACO2;ACOT7;ACTL6A;ADGRA3;AK2;AKIP1;AKT2;ALMS1;ANKLE2;ANLN;AP1B1;ASAP2;ASPM;ATAD2;ATAD5;ATG4B;AURKA;AURKB;BAG4;BARD1;BIRC5;BLOC1S5;BMP2K;BOLA2;BOLA3;BPGM;BRCA2;BRCC3;BUB1;BUB1B;C1orf174;C1orf35;C21orf58;C2orf68;CCDC117;CCDC127;CCNA2;CCNB1;CCNB2;CCP110;CD320;CDC20;CDC25C;CDCA3;CDCA4;CDK1;CDKN3;CDT1;CEMIP2;CENPA;CENPE;CENPF;CENPK;CENPN;CENPU;CEP295;CEP44;CEP57L1;CEP68;CEP97;CERK;CHAF1A;CHEK1;CHKA;CKAP2;CKAP2L;CKS1B;CKS2;CLASP2;CLSPN;COPG1;CORO1C;CPSF7;CRCP;CRISPLD1;CS;CTPS1;CYP20A1;DDI2;DEPDC1;DERL1;DHCR24;DHRS7B;DIAPH3;DIP2A;DLG3;DLGAP5;DPM1;DSN1;DYNLL2;ECT2;EHBP1;EID2;ELOVL1;EMC8;EMSY;ENOSF1;ERAL1;ERBB2;ERCC6L2;EXOSC10;EXOSC9;EXT2;FANCI;FAR1;FBXO5;FMR1;FN3KRP;FOXK2;FOXM1;FRYL;G2E3;GFM1;GGH;GINS1;GINS2;GINS4;GJC1;GLCCI1;GRPEL1;GSKIP;GTF3C2;GTSE1;GVQW3;HACD2;HAUS6;HIC2;HILPDA;HMGB2;HMMR;HPRT1;HSPH1;ICMT;INIP;INTS1;ISG20L2;KIF11;KIF14;KIF18A;KIF20B;KIF22;KIF23;KIF2C;KIF4A;KNL1;KNSTRN;KNTC1;KPNA2;LAS1L;LMNB2;LRRC57;LSM14B;LYRM1;MAD2L1;MAGI1;MALT1;MAP3K4;MBD3;MCM3;MCM3AP;MCM4;MCM6;MCM7;MCMBP;MCRS1;MDM2;MED21;MELK;METTL17;MGME1;MKI67;MMS22L;MPHOSPH9;MRPS18A;MSX2;MTHFD1L;MXD3;MYBL2;MZT1;NAA40;NCAPD2;NCAPG;NDC80;NEDD1;NET1;NIF3L1;NNAT;NUDT14;NUDT15;NUF2;NUP188;NUP205;NUSAP1;OAT;OGFOD1;ORC3;ORC6;PACSIN2;PAIP2B;PAK4;PARP2;PARPBP;PBK;PCGF6;PCLAF;PCNA;PCNT;PDE7A;PHC2;PHTF2;PITPNA;PKP4;PLK1;PNKP;PNPLA8;POLD3;POP7;PPAT;PPP1R8;PPP6R1;PRC1;PRIM1;PRMT5;PRORP;PRPF19;PRPS1;PRR11;PRRX2;PSME4;PSMG4;PTTG1;RAD51AP1;RAD51C;RBM38;RDH14;RECQL;REV1;RFC3;RFC4;RMI1;RMI2;RNASEH2B;RNF138;RNF169;RPA1;RPA2;RPS6KA3;RRM1;RRM2;SACS;SAP30;SAP30L;SASS6;SCAF1;SDHA;SENP5;SEPHS2;SEPTIN8;SF3A1;SGO1;SGO2;SKI;SKP2;SLC11A2;SLC1A3;SLC25A13;SLC39A6;SMC4;SMG7;SPAST;SPDL1;SRGAP2B;SRR;SWAP70;TACC3;TEX10;THAP5;TIMM50;TK1;TMEM106C;TMEM181;TMX1;TOP2A;TPX2;TRABD;TRIAP1;TRIP6;TRRAP;TSC1;TTF2;TUBA1C;TUBB4B;TUBG1;TYMS;U2AF2;UBE2C;UBE2S;UBE2T;UBL4A;UBR3;UBTD2;UCHL5;UFD1;UPF1;USP51;VKORC1L1;VRK1;XPO7;XRCC2;XXYLT1;YEATS4;YTHDC2;ZADH2;ZC3H4;ZNF813;ZNF830;ZWINT
CT1-R4,ZN563,0.277130148721789,1,ATAD2;ATAD5;BIRC5;CENPF;CHEK1;CKS2;CLSPN;MAD2L1;MCM3;MKI67;NCAPD2;NUSAP1;PCLAF;TOP2A;TYMS;UBE2C;UBE2T;VRK1;YEATS4
CT1-R5,MEF2B,0.270865299894949,1,ANLN;BIRC5;CENPE;CHEK1;CLSPN;ENOSF1;MKI67;NUSAP1;UBE2T;VRK1
CT1-R6,WT1,0.262779744409434,1,ANAPC15;ATAD2;ATAD5;ATIC;BARD1;BIRC5;BRCA2;CCNB1;CDK1;CENPF;CENPK;CENPU;CHEK1;CKS2;FANCI;G2E3;GGH;GOT1;HMMR;KIF20B;KIF2C;MAD2L1;MCM3;MCM7;MKI67;MYBL2;MZT1;NUP37;NUSAP1;PBK;PCLAF;PRC1;RCOR1;RFC4;RRAGA;SCYL1;SDHA;SGO2;TMTC3;TOP2A;TPX2;TUBG1;TYMS;UBE2C;UBE2T;VRK1;YEATS4;ZC3H4;ZWINT
CT1-R7,PITX2,0.262221829224024,1,ANLN;ATAD2;ATAD5;AURKB;BIRC5;BRCA2;C21orf58;CCNB2;CDK1;CDKN3;CENPE;CENPF;CENPU;CEP295;CHEK1;CKS1B;CKS2;CLSPN;CYP20A1;DGCR8;DIAPH3;DLGAP5;FANCI;FBXO5;HMMR;ICMT;KIF20B;KIF22;KNL1;MAD2L1;MBD3;MCM3;MCM4;MCM7;MKI67;MYBL2;NCAPD2;NUSAP1;OAT;PCLAF;PCNA;PNPT1;POLD3;PRMT5;RFC3;RNF138;RNF2;RPA2;RRM2;SPICE1;TOP2A;TPX2;TTF2;TYMS;U2AF2;UBE2C;UBE2T;VRK1;YEATS4;ZC3H4;ZWINT
CT1-R8,SALL4,0.26197974185471,1,ATAD2;ATAD5;BIRC5;BROX;CDK1;CENPF;CENPU;CHEK1;CKS2;CLSPN;MAD2L1;MCM3;MKI67;NCAPD2;NUSAP1;PBK;PCLAF;PRC1;TOP2A;TYMS;UBE2C;UBE2T;VRK1;YEATS4
CT1-R9,CPEB1,0.26132770709065,1,AAAS;ACTL6A;ACTR1B;ADGRA3;AKT2;ANAPC15;ANKLE2;ANLN;AP1M1;ARHGAP19;ASPM;ASRGL1;ATAD2;ATAD5;AURKA;AURKB;BARD1;BIRC5;BRCA2;BUB1B;CA14;CCDC138;CCM2;CCNA2;CCNB1;CCNB2;CDCA3;CDCA4;CDK1;CDKN3;CDT1;CENPE;CENPF;CENPK;CENPN;CENPU;CEP44;CHAF1A;CHEK1;CKAP2;CKAP2L;CKS1B;CKS2;CLSPN;CMC4;CPSF7;CTPS1;DEPDC1;DIAPH3;DLGAP5;DPM1;ECT2;ELOVL1;EMC8;ENOSF1;ERAL1;EXOSC9;EXT2;FANCI;FBXO5;FKBP5;FOXK2;G2E3;GINS2;GOSR2;GOT1;GSR;GTSE1;HAUS6;HELLS;HMGB2;HMMR;HSPG2;INTS1;ISG20L2;KIAA0586;KIF11;KIF14;KIF20B;KIF22;KIF23;KIF2C;KNL1;KPNA2;LEO1;MAD2L1;MAP4K3-DT;MASTL;MBD3;MCM3;MCM3AP;MCM4;MCM5;MCM6;MCM7;MKI67;MLST8;MMS22L;MPHOSPH9;MRPS18A;MTHFD1L;MYBL2;MZT1;NAA16;NAA40;NCAPD2;NCAPG;NDC80;NNAT;NNT;NT5C3A;NUF2;NUP155;NUP37;NUP85;NUSAP1;PARP2;PBK;PCGF6;PCLAF;PCNA;POLD3;POM121;PPP2R5D;PPP6C;PRC1;PRELID2;PRIM1;PRR11;PTTG1;RAD51AP1;RECQL;RFC3;RFC4;RNASEH2B;RNF138;RPA1;RPA2;RRAGA;RRM2;SDHA;SENP5;SF3A1;SGO2;SKIDA1;SLC25A13;SLF1;SMC4;SPICE1;SRGAP2B;SRR;STK3;TMEM106C;TMTC3;TMX1;TOP2A;TP53;TPX2;TUBA1C;TUBG1;TYMS;U2AF2;UBALD2;UBE2C;UBE2T;UBE4B;UXS1;VKORC1L1;VRK1;YEATS4;YTHDC2;ZMYM1;ZWINT
CT1-R10,E2F6,0.259237073048676,1,ATAD2;ATAD5;BIRC5;C21orf58;CDK1;CENPU;CHEK1;CLSPN;FANCI;GGH;KIF20B;MAD2L1;MCM3;MCM4;MYBL2;NPAT;NUSAP1;PCLAF;PRC1;RAD51AP1;TOP2A;TPX2;TYMS;UBE2T;ZWINT
