index,tf_name,rss,rss_pval,gene_symbol
CT1-R1,HMGA1,0.598479685749179,1,ANKLE2;AQR;ARID3B;CCNL2;DNAJB11;FBXW4;PSME4;RBM23;REV3L
CT1-R2,MXI1,0.592293396190871,1,ACTR6;ANKHD1;EXOSC6;G6PC3;PNPT1;POLE3;RAB5B;RBM23;RRP1B;UBAP2;VPS37A
CT1-R3,LHX6,0.590525040198056,1,ARID3B;CSNK1G3;FBXW4;FLOT2;GYS1;NFAT5;PRKCI;SECISBP2L;THRA;ZNF609
CT1-R4,SALL4,0.590181287130335,1,ALAS1;APBB1;ARID3B;BCL2L12;CXXC4;EPB41L2;PEMT;SZRD1;TMX1;UXS1;ZC3H18
CT1-R5,PRDM6,0.586989482882191,1,BTBD1;CALU;CEP63;CHMP1B;CNOT6;COX16;FAM126A;HAUS1;HSD17B12;HSF2;NOL11;NUP93;OSBP;PRKCI;SLAIN2;SNX27;TMED10;TMEM181;TTF1;VEZF1;WDR83OS
CT1-R6,HXC10,0.586535630332973,1,CAPN1;CAPN3;DNAJB11;KCTD20;LIG3;LMNB1;MPHOSPH9;PNPT1;POLR3K;SMARCAD1;TMEM181;TMEM97;ZNF281;ZNF322
CT1-R7,HAND1,0.585902526990496,1,ACTR6;AP5M1;BOLA2;BSDC1;CDC14B;CFAP36;ERLIN2;HDAC1;NAA15;OTUD4;REV3L;RRP1B;SZRD1;TMEM181
CT1-R8,HMX1,0.585878723593151,1,ADAMTSL4-AS1;ERLIN2;GALNT2;LIG3;MCL1;NBAS;REV3L;SOCS4
CT1-R9,E2F4,0.584776097805785,1,ANKLE2;AQR;ARID3B;BOLA2;CCNL2;DNAJB11;DNAJC13;FBXW4;GPS1;LIG3;PSME4;RAPGEF2;RBM23;REV3L;SLC16A1-AS1;TIMM23;UBE2Q1
CT1-R10,KLF12,0.583944429649342,1,ADAMTSL4-AS1;ARHGAP1;ARID3B;BARD1;BCL2L12;BOLA2;BTBD1;CCNL2;CHMP1B;CNOT6;DNAJC13;EBNA1BP2;EHMT1;ERLIN2;FAF2;FAM126A;FAM168B;GMNN;GYG1;HAUS1;LIG3;MAGOHB;MCL1;NCOR2;PARD3;PEMT;PITPNA;PNPLA8;PRKCI;PROX1;PRR12;PSME4;RMND5A;SEPHS2;SERINC5;SH3BP4;SLAIN2;SNX27;SOCS4;SRGAP2C;SZRD1;TASOR;TIMM50;UBAP2;UBE2Q1;ZNF217
CT1-R11,E2F7,0.583749870617041,1,DNAJB11;FAM126A;GPS1;HERC1;MAPKAPK5-AS1;NUTM2B-AS1;PNPT1;RAB5B;SZRD1;ZNF330
CT1-R12,FOXJ3,0.583164190122725,1,BACH1;C5orf15;DEGS1;EP400;KCTD20;LUC7L;RPAP2;SCCPDH;TMEM181
CT1-R13,ETS2,0.582963773272756,1,AQR;BOLA2;BRAF;BSDC1;ERGIC1;HDAC1;HERC1;LCORL;MFN1;MIEF1;NOL11;NUDT3;PLEKHM2;PNPT1;PRKCI;PROX1;TASOR2;TMEM181;UBAP2;UBE2Q1;ZNF609
