index,tf_name,rss,rss_pval,gene_symbol
CT1-R1,TAL1,0.708302681753017,0,DDR2;NUSAP1;PTTG1;TOP2A;AGPS;AMOTL2;CASP6;CENPH;COLEC12;DHFR;EBNA1BP2;JADE1;MIS18BP1;MTHFD2;MYO10;NUP107;RRM1;TM2D3;TMED5;TYMS
CT1-R2,WT1,0.706398224411027,0,BIRC5;CENPF;CKS2;DLGAP5;NUSAP1;TOP2A;TUBA1C;AKT2;ALYREF;AMOTL2;ARPC1B;ATIC;BAZ1A;BCAS4;BCL2L12;BET1;BLVRB;CASP6;CENPH;CHCHD6;CHML;CKAP2;CNOT6;COLEC12;COMMD8;COTL1;CTDSPL;CTSC;DEXI;FLOT2;HAT1;KIF20B;KIN;MAGI1;MAML2;MDN1;MIS18BP1;NUP107;PKIB;PPP3CB;PRRC1;PTPN14;QDPR;RANGRF;RNF20;RPP30;SNX1;TBL1X;TGS1;TIMM10;UGCG;WNK3;WRN;YPEL1;ZFPM2;ZNF626;ZNF714
CT1-R3,PITX2,0.702999374864769,0,BIRC5;CCNB2;CKS2;DDR2;NUSAP1;PCLAF;TMSB15A;TOP2A;TUBA1C;ALYREF;ATIC;C1orf35;CENPH;COLEC12;DDX10;DERL1;DNAJC9;G2E3;HAT1;HAUS6;JADE1;MCM7;MIS18BP1;MTHFD1L;MTHFD2;NUDT1;RAE1;RPF2;RRM1;SHMT2;TMX1;TYMS;ZNF714
CT1-R4,ZN467,0.70200696368921,0,DIAPH3;PTTG1;TMSB15A;ALYREF;BET1;CASP6;CENPH;CENPW;CHCHD6;CKAP2;COLEC12;COMMD8;DHFR;DNAJC9;G2E3;GIPC1;GTF2B;HAUS6;HES1;IMPACT;KIN;MDN1;MIS18BP1;MTHFD2;MYO10;ORC6;PTRHD1;RRM1;SHMT2;TNPO3;TYMS;ZNF714
CT1-R5,SP1,0.698399451451389,0,ASPM;BIRC5;CCNB1;CENPE;CENPF;CENPU;CKS1B;CKS2;DEPDC1;DIAPH3;GTSE1;HMMR;MAD2L1;MKI67;NUSAP1;PCLAF;PTTG1;TMSB15A;TOP2A;TPX2;TUBA1C;ACTL6A;ACYP1;ADNP2;AGPS;ALG5;ALYREF;AMOTL2;ANLN;ARF6;ARID3B;ARMCX2;ARPC1B;ATAD5;ATIC;ATL2;B4GALT1;BAG5;BAZ1A;BCAS4;BCKDHA;BCL2L12;BET1;BLVRB;BROX;C12orf76;C19orf48;C1orf35;C21orf58;CARS2;CASP6;CD2BP2;CD320;CDC23;CDC42BPA;CDC42EP3;CDCA8;CDH11;CDK1;CENPH;CENPW;CEP295;CHEK1;CHML;CKAP2;CLSPN;CMIP;CNOT6;CNTLN;COLEC12;COMMD8;CORO1B;COTL1;COX19;CSNK1G2;CTSC;DBF4;DCP1A;DHFR;DMKN;DNAJC13;DNAJC9;DPM1;DZIP1;EBNA1BP2;EGLN2;EHBP1;EPHB2;EXOC4;EXOSC9;FANCI;FAR1;FLOT2;FTSJ3;G2E3;GFM1;GGH;GGPS1;GIPC1;GRPEL1;HAT1;HAUS6;HCFC1;HES1;HMG20B;HMGN5;HOXB-AS1;IFT52;IGFBP2;IMPA2;ITGB3BP;JADE1;KIF11;KIF20B;KMT5A;LAMTOR3;LIMD2;LMNB1;LRRC42;LRRC58;LRRC59;MAGI1;MAPK8;MCM7;MDN1;MIS18A;MIS18BP1;MMS22L;MRE11;MRPL39;MRTO4;MTHFD1L;MTHFD2;MYO10;MZT1;NANS;NCAPD3;NCK1;NEDD1;NELFA;NMD3;NSMCE1;NUDCD1;NUDT1;NUP107;NUP42;NUP93;ORC6;OSBPL11;PACSIN3;PARVA;PCNT;POGK;PPME1;PPP3CB;PRC1;PSAT1;PSMG1;PTPN14;PXMP2;QDPR;RANGRF;RAP1GDS1;RAPGEF2;REV1;RFC3;RHNO1;RNF168;RNF20;RPA1;RPP30;RRAS2;RRM1;RSBN1;RUVBL2;SACM1L;SACS;SART3;SEC61A1;SERTAD3;SETD3;SF3A1;SH3GL1;SHC1;SLC39A6;SLC50A1;SMC4;SNRNP40;SPAST;STK3;STRN4;TAF3;TBL1X;TGS1;THOC6;TIMM10;TIMM23;TMED5;TMEM135;TMTC3;TNPO3;TOPBP1;TRIM59;TRIP6;TSR1;TSSC4;TTC9C;TTF2;TXNDC9;TYMS;UBE2D1;UBE2T;USB1;WDR48;WNK3;YEATS4;YKT6;ZCCHC10;ZDHHC17;ZMYM1;ZNF532;ZNF714;ZNF814;ZNRD2;ZWINT
CT1-R6,PRDM6,0.696890862697157,0,BIRC5;CCNB2;CENPF;CKS1B;DDR2;DLGAP5;MAD2L1;MKI67;NUSAP1;PCLAF;PTTG1;TMSB15A;TOP2A;TPX2;TUBA1C;AGPS;ALYREF;ANLN;ARPC1B;BCAS4;C19orf48;CASP6;CENPH;CENPW;CKAP2;COLEC12;DBF4;DHFR;EBNA1BP2;ECT2;EGLN2;HAUS6;HES1;HMG20B;IQCB1;ITGB3BP;JADE1;KCTD3;KIF20B;KMT5A;L1TD1;MDN1;MGA;MIS18BP1;MRE11;MTHFD2;MYO10;MZT1;NUP107;NUP205;PSMG1;RPP30;RRM1;SMG7;SPTLC1;TASOR2;TBL1X;TOPBP1;TYMS;ZFAND1;ZNF714
CT1-R7,KLF3,0.69561528063886,0,CENPU;MAD2L1;PCLAF;PTTG1;TMSB15A;TOP2A;ALYREF;APPL2;BCL2L12;C19orf48;CASP6;CDH11;CENPH;CENPW;CHML;CKAP2;CNOT6;COLEC12;DBF4;DHFR;DNAJC9;HAUS6;ITGB3BP;JADE1;KIF20B;MCM7;MIS18A;MIS18BP1;MRE11;MTHFD2;MYO10;ORC6;PGAP1;PITPNA;PSMG1;RRM1;SCYL1;SDF2L1;TAF6;TASOR2;TIMM10;TOPBP1;TRIP6;TYMS;YKT6
CT1-R8,PAX5,0.694608299367962,0,BIRC5;CENPF;CENPU;CKS2;MAD2L1;PCLAF;PTTG1;TMSB15A;ALYREF;ARPC1B;ATAD5;C19orf48;CAB39;CASP6;CD320;CENPW;CHEK1;CHML;CKAP2;CNOT6;COLEC12;DCP1A;DHFR;DNAJC9;FANCI;GUF1;ITGB3BP;ITPA;JADE1;KIF20B;KMT5A;LRRC59;MBIP;MDN1;MIS18A;MIS18BP1;MITD1;MRE11;MTHFD2;NUP107;PARVA;PELP1;PIK3C3;PITPNA;PRC1;PSMG1;PXMP2;RRM1;RUVBL2;SHMT2;SPAST;TMX1;TTF2;TYMS;U2AF2;UTP3;YIF1B;ZNF714
CT1-R9,ASCL1,0.693122722562725,0,CENPE;CENPF;CKS2;NUSAP1;TMSB15A;TOP2A;TUBA1C;ALYREF;CENPH;COLEC12;GTPBP6;JADE1;NUP107;PKIB;RRM1;TGS1
CT1-R10,VEZF1,0.692545105295652,0,BIRC5;CENPF;PCLAF;TMSB15A;ACTL6A;ALYREF;AMOTL1;AMOTL2;ANKIB1;ANLN;ARPC1B;BET1;C11orf49;C19orf48;CARM1;CASP6;CDH11;CHML;CNOT6;CNTLN;COLEC12;CORO1B;COTL1;DBF4;DHFR;DIAPH1;DNAJC9;DZIP1;EXOC4;FAM107B;FLOT2;GAR1;GFM1;GNL2;GRAMD1A;HAT1;HDAC8;HEPH;HES1;IFT88;ITGB3BP;ITPA;JADE1;KAT7;KCTD3;KIAA0100;LRRC59;LZTS2;MAGI1;MAPK10;MAPK8;MDN1;MGA;MIS18BP1;MTHFD1L;MTHFD2;MYO10;NCK1;NUP107;NUP42;ORC6;PEPD;PKIB;PLPP5;POR;PPME1;PPP3CB;PTPN14;PYM1;QDPR;R3HCC1;RANGRF;RLF;RNF20;RPP30;RRM1;SHC1;SNRNP40;STAMBP;STRADB;TAF3;TAF6;TASOR2;TBL1X;TGS1;TIMM10;TMED5;TMTC3;TNPO3;UFD1;USB1;WNK3
