index,tf_name,rss,rss_pval,gene_symbol
CT1-R1,SP1,0.724797117823203,0.022,ACTN2;CD81;COL18A1;EIF4G2;GABARAP;GPX4;HNRNPA2B1;ITGB1;MYBPC3;NDUFB11;NPC2;PCBP2;PEBP1;PKP2;SLC25A5;SLC8A1;SMYD1;SPTBN1;SYNPO2L
CT1-R2,ZN770,0.718439568659988,0.0385,ACTN2;APLP2;ATP2A2;CD63;CD81;COL18A1;COX6A1;HNRNPA2B1;ITGB1;KTN1;LAPTM4B;MYBPC3;MYOM1;NEXN;NPC2;PCBP2;PKM;PKP2;RTN4;SLC25A5;SLC8A1;SMYD1;SORBS2;SPTBN1;SYNPO2L
CT1-R3,KLF15,0.705834547685514,0.1518,ACTN2;APLP2;ATP2A2;CCNI;CD81;COL18A1;COMMD6;ITGB1;KTN1;MICOS10;MYOM1;NEXN;NPC2;PKP2;SMYD1;SPTBN1;SYNPO2L
CT1-R4,SP2,0.70541794898477,0.1595,APLP2;ATP2A2;CD81;COL18A1;FILIP1;HNRNPA2B1;ITGB1;KTN1;MYBPC3;MYOM1;NEXN;NPC2;PCBP2;PGAM1;PKP2;POPDC2;RTN4;SLC8A1;SMYD1;SPTBN1;SYNPO2L
CT1-R5,VEZF1,0.704025768813671,0.1782,ATP5MC1;CCNI;CD81;COL18A1;COX6A1;FABP3;MICOS10;NDUFB7;NPC2;PCBP2;PFDN5;PGAM1;PKM;PRDX5;SUMO2;SYNPO2L;TMA7;TPI1;UBC
CT1-R6,WT1,0.703775190078954,0.1848,ACTN2;CCNI;CD63;CD81;COL18A1;ITGB1;KTN1;MYBPC3;NEBL;NEXN;NPC2;PALLD;SLC8A1;SMYD1;SPTBN1
CT1-R7,ZN263,0.70369727694076,0.1848,ACTN2;APLP2;ATP2A2;CCNI;CD81;CDH2;COL18A1;COMMD6;ITGB1;MICOS10;MYOM1;NEXN;NPC2;PALLD;PKP2;SMYD1;SPTBN1;SYNPO2L
CT1-R8,TBX15,0.702909918054571,0.1936,ATP2A2;CD63;CD81;COL18A1;COX6A1;HNRNPA2B1;ITGB1;MYBPC3;MYOM1;NEXN;NPC2;PKP2;SLC8A1;SMYD1;SORBS2;SPTBN1
CT1-R9,TAF1,0.69918447357349,0.2519,APLP2;ATP2A2;CD81;COL18A1;HNRNPA2B1;HSPD1;ITGB1;KTN1;MYBPC3;MYOM1;NEXN;PCBP2;PKP2;RTN4;SLC8A1;SMYD1;SPTBN1
CT1-R10,CPEB1,0.696010173527474,0.3245,ACTN2;APLP2;ATP2A2;CCNI;CD81;CDH2;KTN1;MYBPC3;MYOM1;NEBL;NEXN;PALLD;PKP2;SMYD1
CT1-R11,PRDM6,0.67466115888989,0.9889,ITGB1;KTN1;NEXN;PCBP2;PKP2;RTN4
CT2-R1,PITX2,0.464436306932271,0.033,ACTR2;APRT;ATXN7L3B;C7orf50;COA4;COX16;DAG1;DDX1;EIF3I;EIF4G1;ERP29;GNAI2;GNB2;GRN;GRSF1;HNRNPM;HSPG2;IPO7;LAGE3;LGALS3BP;MAPRE1;METTL5;MGST1;MIEN1;MRPL22;MYADM;NAA10;NFIC;NHP2;PA2G4;PAIP1;PDIA3;PDIA6;PRDX4;PSMB2;PSMB4;PSMC1;PSMC3;PSMD2;RAB4A;RAB5IF;RABAC1;RANBP2;RBM3;RPL7L1;RTF1;SMARCA4;SNRPD1;SPATS2L;SUMO3;TCAF1;TCEA1;TRIM28;TRIM63;UBXN1;XPO4;YME1L1
CT2-R2,CPEB1,0.459779405297199,0.0506,ADD3;ADSL;AIMP1;ANXA11;APRT;ARF3;ARGLU1;ARL5A;ASAP1;ATP6V0D1;ATP6V1E1;ATXN7L3B;BCLAF1;BMPR2;BTF3L4;C7orf50;CADM1;CCDC69;CDK16;CERS6;CFDP1;CNN2;COPA;COX16;CTSD;DAG1;DDX1;DNAJC21;DUSP3;EIF2S3;EIF4G1;EIF4H;ENAH;FAT1;G3BP1;GNB2;GNG10;GRN;GRSF1;GTF2H5;HAGH;HEBP2;HEPH;HIKESHI;HNRNPM;HSPG2;HUWE1;IPO7;IVNS1ABP;JMJD1C;JTB;KDM5A;KPNA6;LAGE3;MAPK1IP1L;MAPRE1;MGST1;MIEN1;MKRN1;MRPL22;MRPL28;MTDH;MTUS1;MYADM;NAA10;NASP;NFIC;NHP2;OTUD6B-AS1;PA2G4;PAFAH1B2;PAWR;PDIA3;PDIA6;POLR2E;POLR2J3;PRKAG2;PRKAR2A;PSMB2;PSMB4;PSMC1;PSMD1;PSMD2;RAB21;RAB4A;RAB5IF;RABAC1;RAD21;RBM3;REEP3;RERE;REST;RNASEH2C;RPL7L1;RTF1;RTN3;SEC23A;SELENOT;SMARCA4;SMARCA5;SMARCC1;SMARCD3;SNRNP70;SNRPB;SPATS2L;SPINT2;STAU1;SYNGR2;TCAF1;TIMMDC1;TIMP2;TMEM245;TOP2B;TRIM28;UBXN1;USP9X;UTRN;VAMP2;VGLL4;YME1L1;ZNF638
