cell_type,gene,direction,day
iPSCs,POU5F1,pos,"day0, day2, day5"
Mesoderm,MIXL1,pos,"day2, day5, day5"
Mesoderm,TBXT,pos,"day2, day5, day5"
Cardiac mesoderm,MESP1,pos,"day2, day5, day10"
Cardiac mesoderm,PDGFRA,pos,"day2, day5, day10"
SHF progenitor,ISL1,pos,"day5, day10, day14"
SHF progenitor,NKX2-5,pos,"day5, day10, day14"
FHF progenitor,NKX2-5,pos,"day5, day10, day14"
FHF progenitor,ISL1,neg,"day5, day10, day14"
Epicardial progenitor,WT1,pos,"day5, day10, day14"
Epicardial progenitor,TBX18,pos,"day5, day10, day14"
Atrial cardiomyocytes,MYH6,pos,"day10, day14, day30"
Atrial cardiomyocytes,NR2F2,pos,"day10, day14, day30"
Atrial cardiomyocytes,TNNT2,pos,"day10, day14, day30"
Ventricular cardiomyocytes,MYL2,pos,"day10, day14, day30"
Ventricular cardiomyocytes,MYH7,pos,"day10, day14, day30"
Ventricular cardiomyocytes,TNNT2,pos,"day10, day14, day30"
Pacemaker cells,HCN4,pos,"day10, day14, day30"
Pacemaker cells,TNNT2,pos,"day10, day14, day30"
Vascular smooth muscle cells,MYH11,pos,"day10, day14, day30"
Vascular smooth muscle cells,ACTA2,pos,"day10, day14, day30"
Cardiac fibroblast,DDR2,pos,"day10, day14, day30"
Cardiac fibroblast,TCF21,pos,"day10, day14, day30"
