sample,id,day
Con0,Con0_CKDL200167803-1a-SI_GA_D3_HNNKFDSXY,0
Con10,Con10_CKDL200167809-1a-SI_GA_A7_HNNKFDSXY,10
Con14,Con14_CKDL200167811-1a-SI_GA_A9_HNNKFDSXY,14
Con2,Con2_CKDL210000544-1a-SI_GA_B6_HNNKFDSXY,2
Con30,Con30_CKDL200167813-1a-SI_GA_A11_HNNKFDSXY,30
Con5,Con5_CKDL200167807-1a-SI_GA_A3_HNNKFDSXY,5
N1KO0,N1KO0_CKDL200167804-1a-SI_GA_E3_HNNKFDSXY,0
N1KO10,N1KO10_CKDL200167810-1a-SI_GA_A8_HNNKFDSXY,10
N1KO14,N1KO14_CKDL200167812-1a-SI_GA_A10_HNNKFDSXY,14
N1KO2,N1KO2_CKDL210000545-1a-SI_GA_B7_HNNKFDSXY,2
N1KO30,N1KO30_CKDL200167814-1a-SI_GA_A12_HNNKFDSXY,30
N1KO5,N1KO5_CKDL200167808-1a-SI_GA_A4_HNNKFDSXY,5
